sample,time_feat,motion_feat,delta_hr_feat,mssd_feat
1,135,19,1,100
2,138,19,1,1296
3,141,19,0,1296
4,144,19,-1,1296
5,147,19,18,1296
6,150,19,0,1296
7,156,19,-27,1296
8,159,19,27,1296
9,162,19,-24,1296
10,165,19,25,1296
11,168,19,-23,1296
12,171,19,29,1296
13,174,19,-21,1296
14,177,19,22,1296
15,180,19,-1,1296
16,183,19,0,1296
17,186,19,22,1296
18,189,19,-30,1296
19,195,19,0,16
20,198,19,1,900
21,201,19,-23,900
22,204,19,-1,100
23,207,19,-1,2116
24,210,19,-21,2116
25,216,19,-11,2116
26,219,19,28,2116
27,222,19,25,2116
28,225,19,5,20852
29,228,19,-1,900
30,231,19,18,900
31,234,19,-1,2116
32,240,19,-27,2116
33,243,19,0,256
34,249,19,-19,256
35,252,19,-7,256
36,255,19,0,676
37,258,19,0,676
38,261,19,19,676
39,267,19,-26,676
40,270,19,20,676
41,273,19,-1,676
42,276,19,19,676
43,279,19,0,36
44,285,19,-26,36
45,291,19,26,36
46,294,19,-19,36
47,297,19,20,36
48,300,19,-26,36
49,303,19,26,36
50,306,19,-26,36
51,309,19,25,36
52,312,19,20,36
53,315,19,1,1296
54,321,19,-27,1296
55,327,19,28,1296
56,330,19,0,100
57,333,19,0,100
58,336,19,-19,100
59,339,19,0,1296
60,342,19,-18,1296
61,345,19,0,676
62,351,19,18,676
63,354,19,-18,676
64,357,19,0,676
65,360,19,0,676
66,363,19,-18,676
67,366,19,18,676
68,372,19,-27,676
69,375,19,0,0
70,378,19,1,256
71,390,19,-32,256
72,393,19,0,900
73,396,19,-19,900
74,399,19,0,0
75,402,19,0,0
76,405,19,-19,0
77,408,19,-6,0
78,414,19,0,0
79,417,19,25,0
80,420,19,-19,0
81,423,19,-6,0
82,426,19,0,100
83,429,19,0,900
84,432,19,0,400
85,435,19,0,100
86,438,19,0,100
87,444,19,-28,100
88,447,19,28,100
89,450,19,20,100
90,453,19,-1,100
91,456,19,20,100
92,459,19,-20,100
93,462,19,0,100
94,465,19,-19,100
95,471,19,-6,100
96,474,19,0,400
97,477,19,-17,400
98,480,19,27,400
99,483,19,-3,11236
100,489,19,-25,11236
101,492,19,0,0
102,495,19,0,100
103,498,19,0,676
104,501,19,-18,676
105,510,19,-11,676
106,513,19,1,1296
107,516,19,-19,1296
108,519,19,0,1296
109,522,19,18,1296
110,525,19,-24,1296
111,528,19,7,1296
112,531,19,1,1296
113,534,19,5,17876
114,537,19,-8,17876
115,540,19,18,17876
116,543,19,0,17876
117,549,19,-29,17876
118,552,19,9,17876
119,555,19,17,17876
120,558,19,18,17876
121,564,19,25,17876
122,567,19,-19,17876
123,570,19,-1,900
124,576,19,20,900
125,579,19,1,1296
126,582,19,1,1296
127,585,19,-20,1296
128,588,19,-1,2116
129,594,19,-25,2116
130,597,19,6,2116
131,600,19,20,2116
132,603,19,1,676
133,609,19,26,676
134,612,19,0,676
135,615,19,-19,676
136,618,19,1,676
137,621,19,-20,676
138,624,19,20,676
139,627,19,-19,676
140,630,19,-7,676
141,633,19,7,676
142,636,19,0,256
143,639,19,-1,400
144,642,19,0,400
145,651,19,34,400
146,654,19,0,400
147,657,19,-27,400
148,660,19,1,400
149,663,19,0,100
150,666,19,1,100
151,669,19,22,100
152,672,19,-1,100
153,675,19,-28,100
154,681,19,27,100
155,687,19,-30,100
156,690,19,2,3136
157,693,19,-20,3136
158,696,19,20,3136
159,699,19,-27,3136
160,702,19,7,3136
161,705,19,19,3136
162,708,19,-26,3136
163,711,19,1,100
164,714,19,1,100
165,717,19,-21,100
166,726,19,32,100
167,729,19,0,676
168,732,19,-19,676
169,735,19,18,676
170,738,19,-25,676
171,741,19,6,676
172,744,19,0,676
173,747,19,-1,676
174,750,19,0,100
175,756,19,-25,100
176,759,19,25,100
177,762,19,19,100
178,765,19,1,100
179,768,19,-26,100
180,771,19,6,100
181,777,19,25,100
182,780,19,0,100
183,783,19,0,0
184,786,19,0,0
185,789,19,-25,0
186,792,19,0,0
187,795,19,0,100
188,798,19,0,100
189,801,19,-19,100
190,804,19,0,100
191,807,19,0,100
192,810,19,19,100
193,813,19,19,100
194,816,19,0,100
195,819,19,19,100
196,822,19,0,100
197,825,19,19,100
198,831,19,21,100
199,834,19,0,256
200,837,19,-19,256
201,840,19,1,256
202,846,19,-13,256
203,849,19,34,256
204,855,19,-34,256
205,858,19,0,36
206,861,19,21,36
207,870,19,-34,36
208,873,19,20,36
209,876,19,1,256
210,879,19,-21,256
211,882,19,21,256
212,885,19,-21,256
213,888,19,20,256
214,891,19,-20,256
215,894,19,0,100
216,897,19,1,100
217,903,19,-33,100
218,906,19,2,2116
219,909,19,-21,2116
220,915,19,27,2116
221,918,19,0,2116
222,921,19,20,2116
223,924,19,1,256
224,927,19,-1,256
225,930,19,-27,256
226,933,19,28,256
227,936,19,21,256
228,939,19,-26,256
229,942,19,2,13856
230,945,19,-2,7376
231,948,19,-4,11236
232,951,19,-4,15876
233,954,19,-20,15876
234,957,19,-1,1296
235,960,19,0,0
236,966,19,26,0
237,972,19,-26,0
238,975,19,6,0
239,978,19,18,0
240,981,19,-18,0
241,984,19,19,0
