sample,time_feat,motion_feat,delta_hr_feat,mssd_feat
1,135,21,0,0
2,138,21,19,0
3,141,19,-19,0
4,144,18,19,0
5,147,18,1,1296
6,150,18,0,900
7,156,18,-25,900
8,159,18,20,900
9,162,18,-1,900
10,165,18,-25,900
11,168,18,6,900
12,171,18,0,900
13,177,18,-6,900
14,183,18,-4,900
15,186,19,18,900
16,189,18,0,900
17,192,18,0,900
18,195,19,19,900
19,198,19,0,0
20,201,18,0,100
21,207,18,-24,100
22,210,18,6,100
23,213,18,0,100
24,216,18,18,100
25,219,20,-18,100
26,225,19,-9,100
27,228,17,28,100
28,231,17,-25,100
29,234,17,-1,1296
30,237,17,1,1296
31,240,17,18,1296
32,243,17,-18,1296
33,249,21,0,1296
34,252,22,18,1296
35,255,21,0,400
36,261,24,25,400
37,264,24,0,0
38,267,23,0,0
39,270,23,0,0
40,273,21,0,0
41,279,19,-28,0
42,282,20,19,0
43,288,20,-28,0
44,291,21,28,0
45,294,19,19,0
46,300,20,19,0
47,303,21,-19,0
48,306,21,0,0
49,309,20,0,0
50,312,20,0,100
51,315,18,0,100
52,318,18,-19,100
53,324,21,-9,100
