sample,time_feat,motion_feat,delta_hr_feat,mssd_feat,label
1,135,19,1,100,1
2,138,19,1,1296,1
3,141,19,0,1296,1
4,144,19,-1,1296,1
5,147,19,18,1296,1
6,150,19,0,1296,1
7,156,19,-27,1296,1
8,159,19,27,1296,1
9,162,19,-24,1296,1
10,165,19,25,1296,1
11,168,19,-23,1296,1
12,171,19,29,1296,1
13,174,19,-21,1296,1
14,177,19,22,1296,1
15,180,19,-1,1296,0
16,183,19,0,1296,0
17,186,19,22,1296,0
18,189,19,-30,1296,0
19,195,19,0,16,0
20,198,19,1,900,0
21,201,19,-23,900,0
22,204,19,-1,100,0
23,207,19,-1,2116,0
24,210,19,-21,2116,0
25,216,19,-11,2116,0
26,219,19,28,2116,0
27,222,19,25,2116,0
28,225,19,5,20852,0
29,228,19,-1,900,0
30,231,19,18,900,0
31,234,19,-1,2116,0
32,240,19,-27,2116,0
33,243,19,0,256,0
34,249,19,-19,256,0
35,252,19,-7,256,0
36,255,19,0,676,0
37,258,19,0,676,0
38,261,19,19,676,0
39,267,19,-26,676,0
40,270,19,20,676,0
41,273,19,-1,676,0
42,276,19,19,676,0
43,279,19,0,36,1
44,285,19,-26,36,1
45,291,19,26,36,1
46,294,19,-19,36,1
47,297,19,20,36,1
48,300,19,-26,36,1
49,303,19,26,36,1
50,306,19,-26,36,1
51,309,19,25,36,1
52,312,19,20,36,1
53,315,19,1,1296,1
54,321,19,-27,1296,1
55,327,19,28,1296,1
56,330,19,0,100,1
57,333,19,0,100,1
58,336,19,-19,100,1
59,339,19,0,1296,1
60,342,19,-18,1296,1
61,345,19,0,676,1
62,351,19,18,676,1
63,354,19,-18,676,1
64,357,19,0,676,1
65,360,19,0,676,1
66,363,19,-18,676,1
67,366,19,18,676,1
68,372,19,-27,676,1
69,375,19,0,0,1
70,378,19,1,256,1
71,390,19,-32,256,1
72,393,19,0,900,1
73,396,19,-19,900,1
74,399,19,0,0,1
75,402,19,0,0,1
76,405,19,-19,0,1
77,408,19,-6,0,1
78,414,19,0,0,1
79,417,19,25,0,1
80,420,19,-19,0,1
81,423,19,-6,0,1
82,426,19,0,100,1
83,429,19,0,900,1
84,432,19,0,400,1
85,435,19,0,100,1
86,438,19,0,100,1
87,444,19,-28,100,1
88,447,19,28,100,1
89,450,19,20,100,1
90,453,19,-1,100,1
91,456,19,20,100,1
92,459,19,-20,100,1
93,462,19,0,100,1
94,465,19,-19,100,1
95,471,19,-6,100,1
96,474,19,0,400,1
97,477,19,-17,400,1
98,480,19,27,400,1
99,483,19,-3,11236,1
100,489,19,-25,11236,1
101,492,19,0,0,1
102,495,19,0,100,1
103,498,19,0,676,1
104,501,19,-18,676,1
105,510,19,-11,676,1
106,513,19,1,1296,1
107,516,19,-19,1296,1
108,519,19,0,1296,1
109,522,19,18,1296,1
110,525,19,-24,1296,1
111,528,19,7,1296,1
112,531,19,1,1296,1
113,534,19,5,17876,1
114,537,19,-8,17876,1
115,540,19,18,17876,1
116,543,19,0,17876,1
117,549,19,-29,17876,1
118,552,19,9,17876,1
119,555,19,17,17876,1
120,558,19,18,17876,1
121,564,19,25,17876,1
122,567,19,-19,17876,1
123,570,19,-1,900,1
124,576,19,20,900,1
125,579,19,1,1296,1
126,582,19,1,1296,1
127,585,19,-20,1296,1
128,588,19,-1,2116,1
129,594,19,-25,2116,1
130,597,19,6,2116,1
131,600,19,20,2116,1
132,603,19,1,676,1
133,609,19,26,676,1
134,612,19,0,676,1
135,615,19,-19,676,1
136,618,19,1,676,1
137,621,19,-20,676,1
138,624,19,20,676,1
139,627,19,-19,676,1
140,630,19,-7,676,1
141,633,19,7,676,1
142,636,19,0,256,1
143,639,19,-1,400,1
144,642,19,0,400,1
145,651,19,34,400,1
146,654,19,0,400,0
147,657,19,-27,400,0
148,660,19,1,400,0
149,663,19,0,100,0
150,666,19,1,100,0
151,669,19,22,100,0
152,672,19,-1,100,0
153,675,19,-28,100,0
154,681,19,27,100,0
155,687,19,-30,100,0
156,690,19,2,3136,0
157,693,19,-20,3136,0
158,696,19,20,3136,0
159,699,19,-27,3136,0
160,702,19,7,3136,0
161,705,19,19,3136,0
162,708,19,-26,3136,0
163,711,19,1,100,0
164,714,19,1,100,0
165,717,19,-21,100,0
166,726,19,32,100,0
167,729,19,0,676,0
168,732,19,-19,676,0
169,735,19,18,676,0
170,738,19,-25,676,0
171,741,19,6,676,0
172,744,19,0,676,0
173,747,19,-1,676,0
174,750,19,0,100,0
175,756,19,-25,100,0
176,759,19,25,100,0
177,762,19,19,100,0
178,765,19,1,100,0
179,768,19,-26,100,0
180,771,19,6,100,0
181,777,19,25,100,0
182,780,19,0,100,0
183,783,19,0,0,0
184,786,19,0,0,0
185,789,19,-25,0,0
186,792,19,0,0,0
187,795,19,0,100,0
188,798,19,0,100,0
189,801,19,-19,100,0
190,804,19,0,100,0
191,807,19,0,100,0
192,810,19,19,100,0
193,813,19,19,100,0
194,816,19,0,100,0
195,819,19,19,100,0
196,822,19,0,100,0
197,825,19,19,100,0
198,831,19,21,100,0
199,834,19,0,256,0
200,837,19,-19,256,0
201,840,19,1,256,0
202,846,19,-13,256,0
203,849,19,34,256,0
204,855,19,-34,256,0
205,858,19,0,36,0
206,861,19,21,36,0
207,870,19,-34,36,0
208,873,19,20,36,0
209,876,19,1,256,0
210,879,19,-21,256,0
211,882,19,21,256,0
212,885,19,-21,256,0
213,888,19,20,256,1
214,891,19,-20,256,1
215,894,19,0,100,1
216,897,19,1,100,1
217,903,19,-33,100,1
218,906,19,2,2116,1
